instrument,timestamp,open,high,low,close,volume,sma_close_3,row_role,forward_return_1d
BTC-USD,2024-12-30T00:00:00Z,93563.35,94910.48,91271.19,92620.71,15271.24432744,,SUPPORT_SMA3_WARMUP,
BTC-USD,2024-12-31T00:00:00Z,92620.7,96148.94,91887.13,93354.22,10348.6325655,,SUPPORT_SMA3_WARMUP,
BTC-USD,2025-01-01T00:00:00Z,93347.59,94960.91,92743.63,94383.59,6871.73848196,93452.84,EVALUATION,0.02669531854001317
BTC-USD,2025-01-02T00:00:00Z,94383.59,97776.99,94177.0,96903.19,10912.47383962,94880.33333333334,EVALUATION,0.012727341587000396
BTC-USD,2025-01-03T00:00:00Z,96905.48,98969.92,96016.63,98136.51,9021.88538159,96474.43,EVALUATION,0.0007473263518338324
BTC-USD,2025-01-04T00:00:00Z,98139.85,98761.02,97516.65,98209.85,2742.08960614,97749.85,EVALUATION,0.001379495030284561
BTC-USD,2025-01-05T00:00:00Z,98209.85,98814.0,97250.0,98345.33,2377.92175899,98230.56333333332,EVALUATION,0.04000271288936652
BTC-USD,2025-01-06T00:00:00Z,98347.65,102500.0,97900.0,102279.41,15173.55606778,99611.53,EVALUATION,-0.052184794574000826
BTC-USD,2025-01-07T00:00:00Z,102279.41,102735.99,96105.11,96941.98,16587.2869223,99188.90666666666,EVALUATION,-0.019654539756666756
BTC-USD,2025-01-08T00:00:00Z,96941.98,97254.35,92500.0,95036.63,14182.29739458,98086.00666666667,EVALUATION,-0.026191900954400493
BTC-USD,2025-01-09T00:00:00Z,95033.18,95363.26,91187.0,92547.44,9712.37853215,94842.01666666666,EVALUATION,0.023271740417670994
BTC-USD,2025-01-10T00:00:00Z,92547.44,95862.92,92209.25,94701.18,12634.03407823,94095.08333333333,EVALUATION,-0.0014377856748984952
BTC-USD,2025-01-11T00:00:00Z,94701.48,94983.65,93804.05,94565.02,2638.69956767,93937.88,EVALUATION,-0.0005858403033173198
BTC-USD,2025-01-12T00:00:00Z,94569.91,95383.84,93670.3,94509.62,2025.81612971,94591.94,EVALUATION,-3.354155904977674e-05
BTC-USD,2025-01-13T00:00:00Z,94507.24,95900.0,89028.64,94506.45,13094.86359481,94527.03,EVALUATION,0.02146424926552637
BTC-USD,2025-01-14T00:00:00Z,94507.35,97353.29,94311.36,96534.96,11210.74226727,95183.67666666667,EVALUATION,0.0411795892389657
BTC-USD,2025-01-15T00:00:00Z,96534.97,100716.45,96400.0,100510.23,13610.74729401,97183.88,EVALUATION,-0.0052576737711176325
BTC-USD,2025-01-16T00:00:00Z,100504.27,100880.0,97277.58,99981.78,12312.37366854,99008.99,EVALUATION,0.04125971752053226
BTC-USD,2025-01-17T00:00:00Z,99981.46,105970.0,99937.81,104107.0,20518.30949325,101533.00333333333,EVALUATION,0.003150604666352974
BTC-USD,2025-01-18T00:00:00Z,104107.0,104933.15,102233.45,104435.0,7835.29991824,102841.26000000001,EVALUATION,-0.03086963182840996
BTC-USD,2025-01-19T00:00:00Z,104435.01,106314.44,99518.0,101211.13,13312.63685598,103251.04333333333,EVALUATION,0.009231198189368905
BTC-USD,2025-01-20T00:00:00Z,101217.78,109358.01,99416.27,102145.43,32342.18311338,102597.18666666666,EVALUATION,0.03929524796165618
BTC-USD,2025-01-21T00:00:00Z,102145.42,107291.1,100051.0,106159.26,19411.23488978,103171.94,EVALUATION,-0.023475578107835293
BTC-USD,2025-01-22T00:00:00Z,106159.27,106431.34,103100.0,103667.11,10730.018962,103990.59999999999,EVALUATION,0.0025007931638105774
BTC-USD,2025-01-23T00:00:00Z,103659.6,106870.87,101200.01,103926.36,25064.86499945,104584.24333333333,EVALUATION,0.008890044835593303
BTC-USD,2025-01-24T00:00:00Z,103926.36,107200.0,102751.92,104850.27,12921.99361413,104147.91333333333,EVALUATION,-0.0011131111059610177
BTC-USD,2025-01-25T00:00:00Z,104866.13,105294.0,104104.0,104733.56,3404.85308291,104503.39666666667,EVALUATION,-0.020724589138381266
BTC-USD,2025-01-26T00:00:00Z,104729.92,105478.8,102452.24,102563.0,4575.36611531,104048.94333333333,EVALUATION,-0.004880707467605272
BTC-USD,2025-01-27T00:00:00Z,102565.28,103228.46,97715.03,102062.42,23647.14111877,103119.66,EVALUATION,-0.007568113709237934
BTC-USD,2025-01-28T00:00:00Z,102063.92,103770.85,100213.8,101290.0,9488.53429464,101971.80666666667,EVALUATION,0.024259551782012112
BTC-USD,2025-01-29T00:00:00Z,101290.01,104829.64,101275.6,103747.25,11403.20278905,102366.55666666667,EVALUATION,0.009594374790657056
BTC-USD,2025-01-30T00:00:00Z,103747.25,106484.77,103289.74,104742.64,13061.34881233,103259.96333333333,EVALUATION,-0.022258174894197902
BTC-USD,2025-01-31T00:00:00Z,104742.63,106090.0,101506.0,102411.26,13313.68104489,103633.71666666666,EVALUATION,-0.017453256604791245
BTC-USD,2025-02-01T00:00:00Z,102414.05,102781.65,100250.0,100623.85,3390.25555744,102592.58333333333,EVALUATION,-0.029290570774225033
BTC-USD,2025-02-02T00:00:00Z,100623.88,101459.84,96179.0,97676.52,10366.65062753,100237.20999999999,EVALUATION,0.03873684279497258
BTC-USD,2025-02-03T00:00:00Z,97676.53,102599.85,91178.01,101460.2,31328.72219576,99920.19,EVALUATION,-0.03612401710227253
BTC-USD,2025-02-04T00:00:00Z,101460.15,101812.23,96145.76,97795.05,14168.7031661,98977.25666666667,EVALUATION,-0.01182800151950436
BTC-USD,2025-02-05T00:00:00Z,97795.06,99230.49,96161.01,96638.33,9308.59185883,98631.19333333333,EVALUATION,-0.000762740829648112
BTC-USD,2025-02-06T00:00:00Z,96635.62,99182.15,95674.96,96564.62,9168.94674634,96999.33333333334,EVALUATION,-0.0002851976220690222
BTC-USD,2025-02-07T00:00:00Z,96575.24,100235.79,95614.96,96537.08,12171.82534167,96580.01000000001,EVALUATION,-0.000630120571287196
BTC-USD,2025-02-08T00:00:00Z,96536.93,96919.05,95682.33,96476.25,2972.45715184,96525.98333333334,EVALUATION,-4.457055492901318e-06
BTC-USD,2025-02-09T00:00:00Z,96476.24,97342.28,94730.67,96475.82,3417.87009701,96496.38333333333,EVALUATION,0.010039717724088737
BTC-USD,2025-02-10T00:00:00Z,96481.47,98367.23,95257.2,97444.41,6375.72539123,96798.82666666668,EVALUATION,-0.017141362957608375
BTC-USD,2025-02-11T00:00:00Z,97451.66,98500.0,94831.07,95774.08,7737.05105717,96564.77,EVALUATION,0.02180600429677848
BTC-USD,2025-02-12T00:00:00Z,95770.95,98119.98,94066.92,97862.53,9078.50356189,97027.00666666667,EVALUATION,-0.01264263247639319
BTC-USD,2025-02-13T00:00:00Z,97864.28,98100.0,95220.0,96625.29,6803.6078927,96753.96666666666,EVALUATION,0.00914605275699576
BTC-USD,2025-02-14T00:00:00Z,96625.29,98890.11,96268.56,97509.03,7744.67640105,97332.28333333333,EVALUATION,0.0009015575275439502
BTC-USD,2025-02-15T00:00:00Z,97507.94,97997.85,97225.01,97596.94,1626.51929078,97243.75333333333,EVALUATION,-0.015134285972490558
BTC-USD,2025-02-16T00:00:00Z,97596.54,97738.22,96057.68,96119.88,2174.29326885,97075.28333333334,EVALUATION,-0.003517274470172027
BTC-USD,2025-02-17T00:00:00Z,96119.88,97050.64,95200.0,95781.8,3533.01273263,96499.54000000001,EVALUATION,-0.0018208052051643664
BTC-USD,2025-02-18T00:00:00Z,95781.8,96730.0,93333.0,95607.4,8867.39878431,95836.36,EVALUATION,0.010717057466263169
BTC-USD,2025-02-19T00:00:00Z,95612.97,96880.0,95000.01,96632.03,6945.44897339,96007.07666666666,EVALUATION,0.017749497759697253
BTC-USD,2025-02-20T00:00:00Z,96632.03,98768.54,96419.07,98347.2,10582.84622768,96862.20999999999,EVALUATION,-0.02226977483853121
BTC-USD,2025-02-21T00:00:00Z,98347.2,99517.52,94721.92,96157.03,19298.23921958,97045.42,EVALUATION,0.004420789618814203
BTC-USD,2025-02-22T00:00:00Z,96157.03,96982.52,95767.95,96582.12,7324.02366243,97028.78333333333,EVALUATION,-0.0032732766686007775
BTC-USD,2025-02-23T00:00:00Z,96578.49,96679.93,95243.91,96265.98,3787.84705335,96335.04333333333,EVALUATION,-0.04939605871149899
BTC-USD,2025-02-24T00:00:00Z,96266.23,96515.41,91300.0,91510.82,12644.0435007,94786.30666666667,EVALUATION,-0.031986162947725716
BTC-USD,2025-02-25T00:00:00Z,91509.88,92549.99,85836.18,88583.74,31587.91715546,92120.18000000001,EVALUATION,-0.050482853851056664
BTC-USD,2025-02-26T00:00:00Z,88583.17,89305.68,82111.12,84111.78,21568.55463119,88068.78,EVALUATION,0.0061039012609174215
BTC-USD,2025-02-27T00:00:00Z,84111.77,86993.87,82554.11,84625.19,16836.55524727,85773.57,EVALUATION,-0.0038695334096148226
BTC-USD,2025-02-28T00:00:00Z,84627.5,85116.19,78167.81,84297.73,30755.74245077,84344.9,EVALUATION,0.020416089496122947
BTC-USD,2025-03-01T00:00:00Z,84297.74,86534.96,83772.54,86018.76,6852.5441262,84980.56,EVALUATION,0.09587117972870107
BTC-USD,2025-03-02T00:00:00Z,86018.82,95128.88,85003.35,94265.48,16751.22972996,88193.98999999999,EVALUATION,-0.08597399599514044
BTC-USD,2025-03-03T00:00:00Z,94265.47,94415.61,85007.01,86161.1,22691.67068614,88815.11333333333,EVALUATION,0.012637489539943259
BTC-USD,2025-03-04T00:00:00Z,86161.09,88977.27,81444.0,87249.96,23130.37098654,89225.51333333334,EVALUATION,0.03843864226413385
BTC-USD,2025-03-05T00:00:00Z,87247.93,91000.0,86329.22,90603.73,14900.93396554,88004.93000000001,EVALUATION,-0.007525959472087895
BTC-USD,2025-03-06T00:00:00Z,90607.73,92817.29,87790.5,89921.85,13303.43744669,89258.51333333334,EVALUATION,-0.03519578389457079
BTC-USD,2025-03-07T00:00:00Z,89915.02,91280.0,84608.27,86756.98,27137.2022302,89094.18666666666,EVALUATION,-0.006342890220475517
BTC-USD,2025-03-08T00:00:00Z,86753.3,86863.38,85200.0,86206.69,3023.2478665,87628.50666666667,EVALUATION,-0.06388738507417469
